Date,High,Low,Average,Last,Buy,Sell,Volume,Volume (Currency)
2017-05-24,2460.0,2213.0,2336.5,2360.0,2359.999,2359.244,27439349.7274,11713.37874
2017-05-23,2249.119,2017.89,2133.5045,2218.0,2218.988,2218.0,24196290.835,11107.58537
2017-05-22,2227.0,2003.794,2115.397,2027.442,2027.442,2027.17,31559215.0126,14713.58743
2017-05-21,2075.862,1960.0,2017.931,2008.871,2014.6,2009.002,15596472.3982,7731.77154
2017-05-20,1998.774,1895.67,1947.222,1996.029,1996.042,1995.58,11274779.4907,5760.39916
2017-05-19,1927.698,1809.999,1868.8485,1915.998,1915.999,1909.9,13919599.4225,7453.33701
2017-05-18,1840.0,1754.0,1797.0,1824.005,1825.849,1824.005,14137646.8273,7865.40956
2017-05-17,1778.38,1681.2,1729.79,1761.0,1760.998,1758.31,13964348.1884,7975.82491
2017-05-16,1719.999,1600.3,1660.1495,1689.799,1689.813,1689.799,13778405.7465,8294.15497
2017-05-15,1723.685,1624.0,1673.8425,1680.979,1688.18,1680.985,10457408.6301,6243.8805
2017-05-14,1754.097,1681.0,1717.5485,1708.374,1708.374,1707.227,6735870.98869,3902.85684
2017-05-13,1734.87,1583.0,1658.935,1721.575,1721.575,1717.001,11779474.3472,7087.78376
2017-05-12,1790.0,1600.1,1695.05,1702.197,1702.198,1702.01,15675579.8734,9154.73217
2017-05-11,1800.0,1680.484,1740.242,1771.498,1771.499,1770.497,14183081.2553,8063.00316
2017-05-10,1707.0,1588.03,1647.515,1694.506,1694.995,1694.506,19570253.1944,11773.28711
2017-05-09,1705.893,1610.256,1658.0745,1642.199,1642.2,1641.0,21996548.1987,13161.4554
2017-05-08,1640.848,1492.461,1566.6545,1624.45,1624.998,1622.985,14620215.9175,9291.62439
2017-05-07,1499.0,1469.003,1484.0015,1497.303,1498.999,1497.301,6961288.75107,4706.45244
2017-05-06,1486.0,1420.0,1453.0,1483.503,1483.502,1483.499,6379826.04298,4364.45212
2017-05-05,1485.0,1401.555,1443.2775,1443.579,1443.576,1439.433,14746834.4656,10157.39001
2017-05-04,1519.999,1345.8,1432.8995,1401.555,1406.998,1401.556,22319019.4187,15495.38473
2017-05-03,1409.0,1361.22,1385.11,1385.8,1392.126,1385.8,12827911.2086,9236.2124
2017-05-02,1425.0,1355.073,1390.0365,1393.069,1395.554,1393.11,10167597.3764,7315.2099
2017-05-01,1394.869,1292.833,1343.851,1381.996,1381.999,1377.001,9288227.14232,6936.62571
2017-04-30,1314.453,1284.755,1299.604,1314.454,1314.454,1312.102,5085811.79394,3927.87005
2017-04-29,1303.123,1279.0,1291.0615,1291.006,1294.1,1291.006,5350850.04588,4144.7239
2017-04-28,1309.8,1272.001,1290.9005,1286.99,1286.99,1283.212,7185309.5556,5556.85617
2017-04-27,1315.112,1269.961,1292.5365,1307.56,1307.56,1305.703,9831838.83335,7618.30873
2017-04-26,1278.0,1241.234,1259.617,1270.092,1272.999,1270.094,7534506.49185,5964.86005
2017-04-25,1264.197,1239.116,1251.6565,1245.432,1249.474,1242.302,6453937.78392,5151.37187
2017-04-24,1248.0,1225.0,1236.5,1242.6,1242.6,1241.871,5677019.29747,4581.44823
2017-04-23,1241.987,1212.129,1227.058,1237.97,1237.974,1235.103,6336543.04258,5150.05423
2017-04-22,1240.0,1200.0,1220.0,1227.491,1227.491,1225.366,7115808.24824,5833.28065
2017-04-21,1245.0,1225.3,1235.15,1238.495,1238.495,1236.001,6939489.46292,5617.1766
2017-04-20,1249.0,1203.601,1226.3005,1235.131,1235.13,1231.501,9176929.13636,7488.60139
2017-04-19,1220.0,1199.0,1209.5,1204.0,1204.753,1204.001,6711467.44165,5541.73254
2017-04-18,1222.222,1195.014,1208.618,1214.599,1214.599,1213.993,8459646.34339,6970.07857
2017-04-17,1210.0,1175.0,1192.5,1205.881,1205.917,1205.881,6879232.8668,5755.90997
